HHID,State,District,Internet_Usage_Rate,Digital_Access_Index,Digital_Inclusion_Score,Urban_Rural
47571_13,Uttar Pradesh,Kannauj,2.0,2.0,2.0,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,5.4,5.4,Rural
43757_5,Uttar Pradesh,Unnao,1.4,2.4,2.4,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
48055_2,Karnataka,Hassan,1.5714285714285714,5.571428571428571,5.571428571428571,Rural
46701_4,Himachal Pradesh,Mandi,1.6666666666666667,4.666666666666667,4.666666666666667,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
44483_2,Odisha,Balangir,1.25,4.25,4.25,Rural
44483_2,Odisha,Balangir,1.25,3.25,3.25,Rural
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,6.083333333333333,6.083333333333333,Urban
25068_1,Madhya Pradesh,Dewas,1.0833333333333333,5.083333333333333,5.083333333333333,Urban
49814_7,West Bengal,Northtwentyfourparganas,1.2,5.2,5.2,Rural
46640_2,Jammu & Kashmir,Kishtwar,1.0,4.0,4.0,Rural
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,4.333333333333333,4.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,4.333333333333333,4.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,4.333333333333333,4.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,4.333333333333333,4.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,4.333333333333333,4.333333333333333,Urban
24563_4,Karnataka,Bangalore,1.3333333333333333,5.333333333333333,5.333333333333333,Urban
