HHID,State,District,Avg_Education,Education_Intensity,Avg_Age,Age_Category,Household_Size_Calc,Dependency_Ratio
47571_13,Uttar Pradesh,Kannauj,1.0,2.0,64.0,Senior,2,0.03125
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
43757_5,Uttar Pradesh,Unnao,5.2,52.0,32.4,Adult,10,0.308641975308642
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
48055_2,Karnataka,Hassan,4.571428571428571,32.0,37.42857142857143,Adult,7,0.1870229007633587
46701_4,Himachal Pradesh,Mandi,5.0,15.0,32.333333333333336,Adult,3,0.0927835051546391
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
44483_2,Odisha,Balangir,4.375,35.0,32.125,Adult,8,0.2490272373540856
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
