HHID,State,District,Energy_Source_Cooking,Energy_Source_Lighting,Fuel_Exp,Energy_Modernization_Index
47571_13,Uttar Pradesh,Kannauj,4,1,120.0,5
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
43757_5,Uttar Pradesh,Unnao,2,1,1000.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
48055_2,Karnataka,Hassan,2,1,3160.0,3
46701_4,Himachal Pradesh,Mandi,1,1,120.0,2
