HHID,State,District,Service_Exp,OutOfHome_Exp,Welfare_Benefit_Score,Welfare_Intensity_Index,Welfare_Dependency_Ratio,Ration_Support_Total,Ration_Card_Type
47571_13,Uttar Pradesh,Kannauj,140.0,792.0,6,8.0,0.0007365126127784,2.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,5.0,5.940711697261332e-05,0.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,5.0,5.940711697261332e-05,0.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,6.0,7.128854036713598e-05,0.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,6.0,7.128854036713598e-05,0.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,7.0,8.316996376165864e-05,2.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,7.0,8.316996376165864e-05,2.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,8.0,9.505138715618132e-05,2.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,8.0,9.505138715618132e-05,2.0,0
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,5.0,5.940711697261332e-05,0.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,5.0,5.940711697261332e-05,0.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,6.0,7.128854036713598e-05,0.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,6.0,7.128854036713598e-05,0.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,7.0,8.316996376165864e-05,2.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,5,7.0,8.316996376165864e-05,2.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,8.0,9.505138715618132e-05,2.0,4
43757_5,Uttar Pradesh,Unnao,200.0,5355.0,6,8.0,9.505138715618132e-05,2.0,4
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
48055_2,Karnataka,Hassan,1646.0,5751.0,4,5.0,5.813547892007534e-05,1.0,2
46701_4,Himachal Pradesh,Mandi,620.0,4204.0,4,8.0,0.0001199004825994,4.0,3
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,4,5.0,4.342577232736084e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
44483_2,Odisha,Balangir,1090.0,4115.0,5,6.0,5.211092679283301e-05,1.0,4
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,5,5.0,1.4183230315803804e-05,0.0,3
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,5,5.0,1.4183230315803804e-05,0.0,3
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,5,5.0,1.4183230315803804e-05,0.0,3
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,4,4.0,1.1346584252643044e-05,0.0,3
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,4,4.0,1.1346584252643044e-05,0.0,3
25068_1,Madhya Pradesh,Dewas,130.0,5991.0,4,4.0,1.1346584252643044e-05,0.0,3
